['0091D', '0092D']	950402033-012	9	13	判決は、抗告訴訟	についての	国側国側の主張を門前払いにしたうえで、二十二十一点についても「秘密として保護に値する内容ではない」と公開を求めた。	['対象', '割合']
['0091N']	950119047-043	4	7	耐震性	について	は細心の上にも細心の注意を払って再検討し、早急な対策を望む。	['対象']
['1351M', '1371M']	950103039-009	39	41	廃止したのは二百二百七十七十七件で、差し引き四百四百六十六十件の許認可が増え	ている	。	['継続']
['0871Q']	950206068-012	28	29	しかし、集会では「いくら新しい試みをしようしようと思っ	ても	教育委員会が標準授業時数を逸脱するな、と現場の手を縛ろう縛ろうとする」との声が何人かから聞かれた。	['逆接仮定']
['1212M']	950104062-007	21	23	この研究によれば、所得、識字率、平均寿命	という	３つの指標でみると、わが国は３０カ国中第１位にランクされるものの、男女間の賃金や教育水準の格差などを加味すると、一挙に１７位まで低下することが示されている。	['伝聞']
['0721M', '2011M']	950103055-002	12	13	「ベテランに頼って勝つ	ので	は、ね」。	['理由', '推量']
['0171P']	950101034-004	14	17	三十三十日のセボードニャ紙	によると	、ポレワノフ副首相は「政府の経済路線を変更し、企業に対する国家の指導を強化することが必要」と強調するとともに「これまでに誤って民営化された企業を再国営化させる法案の採択を目指す」と語った。	['根拠']
['0141P', '0142P', '0143P', '0171P']	950101034-004	14	16	三十三十日のセボードニャ紙	による	と、ポレワノフ副首相は「政府の経済路線を変更し、企業に対する国家の指導を強化することが必要」と強調するとともに「これまでに誤って民営化された企業を再国営化させる法案の採択を目指す」と語った。	['仲介', '根拠', '場合']
['0081P', '0082P']	950101034-004	43	46	三十三十日のセボードニャ紙によると、ポレワノフ副首相は「政府の経済路線を変更し、企業	に対する	国家の指導を強化することが必要」と強調するとともに「これまでに誤って民営化された企業を再国営化させる法案の採択を目指す」と語った。	['対象', '割合']
['1351M', '1371M']	950202055-009	50	52	私鉄側は値上げの理由として、設備投資額が運賃収入の約四割に達し、鉄道収支を悪化させ、赤字経営になっ	ている	ことを挙げている。	['継続']
['1351M', '1371M']	950202055-009	58	60	私鉄側は値上げの理由として、設備投資額が運賃収入の約四割に達し、鉄道収支を悪化させ、赤字経営になっていることを挙げ	ている	。	['継続']
['1211D', '1213D']	950217045-029	33	35	銀行でこういうケースが出てきた場合には、大蔵省の検査や日銀の考査	という	日常の金融行政が大きく絡んでくる。	['同格', '強調']
['0931Q', '0932Q']	950307050-008	52	54	社会主義市場経済体制についても、今世紀末までに初歩的に確立する目標は確認したが、同時にそれを完全なもの	にする	にはさらに二、三十二、三十二、三十二、三十年を要すると長期戦の構えだ。	['逆接仮定', '逆接確定']
['2451W', '2452W']	950106156-009	64	65	家庭用ゲーム機、おもちゃなどのお年玉商品だけでなく、刺し身、牛肉、シャンプー、牛乳など通常の買い物商品もよく売れており、「正月	とは	いえ消費者はお節料理ばかりを食べているわけでなく、普段通りの生活をしている」ことがうかがえる。	['感嘆', '定義']
['0032T']	950104202-019	72	74	午前十時、本社大ホールに幹部がそろった前で山本兵蔵社長は「厳粛に受け止め、謙虚に反省しなくてはならない。今年を再スタートの年にする決意で社会人	として	良識のある行動を」とあいさつした。	['強調']
['0011P']	950216051-049	23	26	戦後半世紀を経て活力低下が懸念される日本経済	にとって	、いま非常に重要なことは、大きな可能性を秘めた無名の企業を発掘して支援、育成していくことである。	['立場']
['0011P']	950216051-049	23	25	戦後半世紀を経て活力低下が懸念される日本経済	にとっ	て、いま非常に重要なことは、大きな可能性を秘めた無名の企業を発掘して支援、育成していくことである。	['立場']
['0113D']	950218042-011	6	9	だが、白球	にかける	高校生のひたむきな青春は、これまで数多く数多くの感動のドラマを生んできた。	['終点']
['0141D', '0142D', '0143D']	950105155-004	32	34	この結果、明日香ちゃんは２日朝、自宅のアパートの部屋で全身衰弱	による	急性循環不全で死亡した。	['仲介', '根拠', '場合']
['0091P', '0092P']	950126048-019	17	20	チェチェン問題や、アジア政策全般	について	の言及もなかった。	['対象', '割合']
['1711M']	950104051-008	40	44	これに対して、一〇五―一〇九円はわずか三社で、大半の企業が大きく円安円安に戻る	ことはない	とみている。	['不必要']
['1351M', '1371M']	950104051-008	47	49	これに対して、一〇五―一〇九円はわずか三社で、大半の企業が大きく円安円安に戻ることはないとみ	ている	。	['継続']
['0933W']	950105041-023	15	16	物理学界や科学界全体のテーマ	にし	、日本ができる学術的に価値の高い貢献とは何か、どう国際協力を進めるべきかを真剣に議論すべきだろうだろう。	['も観点']
['2451W', '2452W']	950105041-023	35	36	物理学界や科学界全体のテーマにし、日本ができる学術的に価値の高い貢献	とは	何か、どう国際協力を進めるべきかを真剣に議論すべきだろうだろう。	['感嘆', '定義']
['0101D']	950104017-006	88	90	しかし、約一週間後の二十二十五日付の指令書では、北海道の北半分をソ連軍占領地区とする要求について「トルーマン米大統領が拒否した」ことを理由に引っ込め、東京における同軍駐留問題	に関し	ても「提起する必要はない」と命令を撤回した。	['対象']
['0032T']	950129037-023	46	48	「校庭の総面積が市内の公園・緑地の一・五倍もある」のに注目し、地域住民がスポーツを楽しむ場	として	、校庭を積極的に開放してきたのである。	['強調']
['1321M']	950104156-010	25	26	この傾向は今後も続きそうで「景気にやや薄日がさし	てき	たとはいえ、大手企業を中心として人員削減計画は今後二―三二―三二―三年の期間で策定しているケースが多く、採用計画の手控え傾向を合わせ、従業員減少は続きそうだ」という。	['着継続']
['2451M']	950104156-010	28	29	この傾向は今後も続きそうで「景気にやや薄日がさしてきた	とは	いえ、大手企業を中心として人員削減計画は今後二―三二―三二―三年の期間で策定しているケースが多く、採用計画の手控え傾向を合わせ、従業員減少は続きそうだ」という。	['感嘆']
['1212M']	950104156-010	106	108	この傾向は今後も続きそうで「景気にやや薄日がさしてきたとはいえ、大手企業を中心として人員削減計画は今後二―三二―三二―三年の期間で策定しているケースが多く、採用計画の手控え傾向を合わせ、従業員減少は続きそうだ」	という	。	['伝聞']
