['3191M']	950207056-017	34	37	地方選が政治の先行指標として機能しなくなって久しいのではないだろう	だろうか	。
['2691T']	950101134-027	10	12	冒険計画に反対した	ことは	ない。
['1881M']	950105042-026	44	45	韓国の関心は、日韓日韓や南北関係といった周辺情勢から、世界的な分野にも広がろう広がろう	とし	ている。
['1212M']	950105042-026	17	19	韓国の関心は、日韓日韓や南北関係	といっ	た周辺情勢から、世界的な分野にも広がろう広がろうとしている。
['2461M']	950105042-026	17	20	韓国の関心は、日韓日韓や南北関係	といった	周辺情勢から、世界的な分野にも広がろう広がろうとしている。
['2161M']	950222054-028	19	22	もう一度、共同作業所の担う役割を考え	てほしい	。
['0721Q']	950101148-007	49	50	挑戦者が複数となった７０年から４回、カップを目指したが、いずれも挑戦艇決定の過程で敗れてしまった	のだ	から。
['0721Q']	950104012-052	38	41	少数政党の村山富市さんを首相に仰いで、果たしてビジョンを訴えることができる	のだろう	だろうか。
['0801Q']	950101152-013	40	42	最新艇の「ＪＰＮ―４１」はまだ進水していないが、これまでのデータを基に造った艇	だけに	期待はできる。
['2671T']	950101165-009	14	17	遠い過去のこと、とするには	あまりに	重い負債。
['1321M']	950113052-010	41	42	これまでも日本の首相は米国を訪れる度に「新たな関係」を強調して、幾つかの約束をし	てき	た。
['0032T']	950103008-048	9	11	ただパワーゲーム	として	みれば民意は問える。
['2861W']	950119047-015	6	7	ガレキの下	には	行方不明者がいるといわれながら、手つかずという有り様だ。
['1212M']	950131056-004	56	58	ところが、野末氏によると首相は売り言葉売り言葉に買い言葉買い言葉で「どんどんやってもらって結構だ」と答えたのだ	という	。
['1221D']	950101024-016	32	33	新進党は早期解散・総選挙を求めており、与野党逆転→海部政権誕生	との	願望が込められているようだ。
['0732D']	950131056-008	63	65	二十二十日の通常国会召集日に十日間の政治休戦を呼びかけたのは、ほかならぬ新進党だったがこの時、連立与党は「予算審議を遅らせる	ための	パフォーマンス」と取り合わなかった。
['1461M']	950123086-038	40	42	だが、小さな道路一本に至るまで、災害時の援助にどう使用できるか自治体間で熟知し	ておけ	ば、実行時に役立つ。
['0281P']	950122051-008	3	8	銀行	をはじめとし	た金融機関は預金通帳やカードを持たずに避難した人々に、当座の必要資金を貸し出しているが、日銀と連携し十分な資金を供給する必要がある。
['0281P']	950122051-008	3	6	銀行	をはじめ	とした金融機関は預金通帳やカードを持たずに避難した人々に、当座の必要資金を貸し出しているが、日銀と連携し十分な資金を供給する必要がある。
['1221D']	950101031-012	28	29	共和党はギングリッチ新下院議長が作成した選挙公約「米国	との	契約」の中で「民主主義と市場経済への改革、及びシビリアンコントロール下の軍をもつ国々がＮＡＴＯに加入することを促進する」とうたい、東欧諸国のＮＡＴＯ加入を進めることを明らかにしている。
['2451M']	950219027-034	30	31	とはいえ、このような行動を起こした意義は決して小さくない。	とは	いえ、このような行動を起こした意義は決して小さくない。
['2861W']	950104016-006	35	36	「母親が外で働くと、小学校入学前の子供によくない影響がある」との意見	には	賛成五〇％、反対四四％に二分された。
['0271D']	950216051-018	4	6	「貧困	からの	脱出」は、多かれ少なかれ戦後の日本人全体の念願でもあった。
['0101D']	950109021-010	11	14	一方、政府のコメ管理	に関する	主な主な役割は備蓄の確保になる。
['0871Q']	950128044-027	13	14	大災害現場に外国人が入っ	ても	、言葉、地理の問題がある。
['3221M']	950214057-018	84	87	統合といっても、蚕糸砂糖類価格安定事業団や畜産振興事業団のように、統合後も事業はそのまま継続するというのでは、理事長ポストが一つ減る程度で、結局は名前を変えての存続で	しかない	。
['1212M']	950214057-018	3	5	統合	といっ	ても、蚕糸砂糖類価格安定事業団や畜産振興事業団のように、統合後も事業はそのまま継続するというのでは、理事長ポストが一つ減る程度で、結局は名前を変えての存続でしかない。
['2861W']	950218041-010	11	12	大統領はそうした蛮行	には	目をつぶったままだ。
['0731Q']	950104020-006	83	85	「日本人は知恵を出す分野でもっと国際的に貢献できる。主体性をもって国際社会を引っ張っていくリーダーシップをとれる人。世界で何が重要かを常に関心を持ちつつ、国際社会の	ために	役立とう役立とうという使命感を抱いている人。そういった人材を多く育てる必要がある」
