0091P,950101003-001,53,56,村山富市首相は年頭にあたり首相官邸で内閣記者会と二十二十八日会見し、社会党の新民主連合所属議員の離党問題,について,「政権に影響を及ぼすことにはならない。離党者がいても、その範囲にとどまると思う」と述べ、大量離党には至らないとの見通しを示した。
0091N,950101003-001,53,56,村山富市首相は年頭にあたり首相官邸で内閣記者会と二十二十八日会見し、社会党の新民主連合所属議員の離党問題,について,「政権に影響を及ぼすことにはならない。離党者がいても、その範囲にとどまると思う」と述べ、大量離党には至らないとの見通しを示した。
0092P,950101003-001,53,56,村山富市首相は年頭にあたり首相官邸で内閣記者会と二十二十八日会見し、社会党の新民主連合所属議員の離党問題,について,「政権に影響を及ぼすことにはならない。離党者がいても、その範囲にとどまると思う」と述べ、大量離党には至らないとの見通しを示した。
0201P,950101003-001,10,13,村山富市首相は年頭,にあたり,首相官邸で内閣記者会と二十二十八日会見し、社会党の新民主連合所属議員の離党問題について「政権に影響を及ぼすことにはならない。離党者がいても、その範囲にとどまると思う」と述べ、大量離党には至らないとの見通しを示した。
0201D,950101003-001,10,13,村山富市首相は年頭,にあたり,首相官邸で内閣記者会と二十二十八日会見し、社会党の新民主連合所属議員の離党問題について「政権に影響を及ぼすことにはならない。離党者がいても、その範囲にとどまると思う」と述べ、大量離党には至らないとの見通しを示した。
0871Q,950101003-001,81,82,村山富市首相は年頭にあたり首相官邸で内閣記者会と二十二十八日会見し、社会党の新民主連合所属議員の離党問題について「政権に影響を及ぼすことにはならない。離党者がい,ても,、その範囲にとどまると思う」と述べ、大量離党には至らないとの見通しを示した。
1921M,950101003-001,67,72,村山富市首相は年頭にあたり首相官邸で内閣記者会と二十二十八日会見し、社会党の新民主連合所属議員の離党問題について「政権に影響を及ぼす,ことにはなら,ない。離党者がいても、その範囲にとどまると思う」と述べ、大量離党には至らないとの見通しを示した。
2861W,950101003-001,69,70,村山富市首相は年頭にあたり首相官邸で内閣記者会と二十二十八日会見し、社会党の新民主連合所属議員の離党問題について「政権に影響を及ぼすこと,には,ならない。離党者がいても、その範囲にとどまると思う」と述べ、大量離党には至らないとの見通しを示した。
2861W,950101003-001,105,106,村山富市首相は年頭にあたり首相官邸で内閣記者会と二十二十八日会見し、社会党の新民主連合所属議員の離党問題について「政権に影響を及ぼすことにはならない。離党者がいても、その範囲にとどまると思う」と述べ、大量離党,には,至らないとの見通しを示した。
0271D,950101004-004,6,8,グロズヌイ,からの,報道では、ロシア軍は激しい空爆と砲撃を加えた後、装甲車部隊が大統領官邸付近に進出。
1351M,950101004-005,28,30,同官邸前などでドゥダエフ政権部隊と激しい市街戦を展開し,ている,。
1371M,950101004-005,28,30,同官邸前などでドゥダエフ政権部隊と激しい市街戦を展開し,ている,。
0161P,950101004-006,28,30,一方、ドゥダエフ政権側の首都防衛司令官は同日夕、テレビ,を通じ,、首都防衛はうまくいっており、ロシア軍の戦車五十五十両を破壊したと発表。
0162P,950101004-006,28,30,一方、ドゥダエフ政権側の首都防衛司令官は同日夕、テレビ,を通じ,、首都防衛はうまくいっており、ロシア軍の戦車五十五十両を破壊したと発表。
1351M,950101004-006,42,44,一方、ドゥダエフ政権側の首都防衛司令官は同日夕、テレビを通じ、首都防衛はうまくいっ,ており,、ロシア軍の戦車五十五十両を破壊したと発表。
1371M,950101004-006,42,44,一方、ドゥダエフ政権側の首都防衛司令官は同日夕、テレビを通じ、首都防衛はうまくいっ,ており,、ロシア軍の戦車五十五十両を破壊したと発表。
0561Q,950101004-007,29,32,また、ドゥダエフ大統領は現在、交渉中のロシア議会の代表団,とともに,防空ごうに避難しており、無事という。
1211D,950101004-007,47,49,また、ドゥダエフ大統領は現在、交渉中のロシア議会の代表団とともに防空ごうに避難しており、無事,という,。
