0221N,950101003-001,80,80,村山富市首相は年頭にあたり首相官邸で内閣記者会と二十二十八日会見し、社会党の新民主連合所属議員の離党問題について「政権に影響を及ぼすことにはならない。離党者が,い,ても、その範囲にとどまると思う」と述べ、大量離党には至らないとの見通しを示した。,状況
0681Q,950101008-006,38,40,ようやく経済も明るさを取り戻しつつある微妙な段階なので、今は解散の時期では,ないと,考えている。,順接必要
0681Q,950101008-006,38,39,ようやく経済も明るさを取り戻しつつある微妙な段階なので、今は解散の時期では,ない,と考えている。,順接必要
0681M,950101008-006,38,40,ようやく経済も明るさを取り戻しつつある微妙な段階なので、今は解散の時期では,ないと,考えている。,順接必要
0681M,950101008-006,38,39,ようやく経済も明るさを取り戻しつつある微妙な段階なので、今は解散の時期では,ない,と考えている。,順接必要
0721Q,950101008-006,26,27,ようやく経済も明るさを取り戻しつつある微妙な段階な,ので,、今は解散の時期ではないと考えている。,理由
0721M,950101008-006,26,27,ようやく経済も明るさを取り戻しつつある微妙な段階な,ので,、今は解散の時期ではないと考えている。,理由
2011M,950101008-006,26,27,ようやく経済も明るさを取り戻しつつある微妙な段階な,ので,、今は解散の時期ではないと考えている。,推量
3341M,950101008-006,38,39,ようやく経済も明るさを取り戻しつつある微妙な段階なので、今は解散の時期では,ない,と考えている。,否定
0971C,950101008-020,29,32,細川内閣の時、予算編成をやった閣僚が予算成立を図るべきだ,と言って,改造に反対した経緯がある。,逆接確定
1211D,950101008-020,29,31,細川内閣の時、予算編成をやった閣僚が予算成立を図るべきだ,と言っ,て改造に反対した経緯がある。,同格
1212M,950101008-020,29,31,細川内閣の時、予算編成をやった閣僚が予算成立を図るべきだ,と言っ,て改造に反対した経緯がある。,伝聞
0681Q,950101008-038,16,17,国連は常任理事国の問題だけでは,なく,改革されていかなければならない。,順接必要
0681M,950101008-038,16,17,国連は常任理事国の問題だけでは,なく,改革されていかなければならない。,順接必要
3341M,950101008-038,16,17,国連は常任理事国の問題だけでは,なく,改革されていかなければならない。,否定
0811Q,950101010-013,12,14,しかし、それは表面的な,もので,、実態は自信を喪失するとともに、レゾンデートルを求めて揺れる姿が透けて見えます。,理由
0811M,950101010-013,12,14,しかし、それは表面的な,もので,、実態は自信を喪失するとともに、レゾンデートルを求めて揺れる姿が透けて見えます。,理由
3081T,950101010-018,39,40,航空業界トップは「このままでは航空会社は早晩、赤字タレ流しの第二の国鉄になる,しか,ない」と悲鳴を上げ、ＪＲ各社首脳は運賃、宿泊費、サービス料金の内外価格差の増大に「産業の空洞化は製造業からあらゆる産業に広がりつつある」と警鐘を鳴らしています。,限定
2661T,950101010-019,141,143,銀行、証券、生・損保生・損保生・損保など金融機関は「ある日突然に日本から株式市場が消える悪夢を見る」と訴え、政府・日銀が「金融秩序維持のため」に発動した信用組合救済銀行の設立も、「バブルに踊った“悪徳”金融機関の救済に税金を使うことに閣僚からも批判が出ているが、ヘタをすると大変な,ことに,なる。そうなったら国家的犯罪ですよ」とまで危惧するのです。,強調
1211D,950101010-020,26,28,いずれも許認可、規制の弊害が「来るところまで来た」,という,危機感のあらわれです。,同格
1212M,950101010-020,26,28,いずれも許認可、規制の弊害が「来るところまで来た」,という,危機感のあらわれです。,伝聞
3201M,950101010-020,37,38,いずれも許認可、規制の弊害が「来るところまで来た」という危機感のあらわれ,です,。,判断
3201M,950101010-027,22,23,政治家や選ぶ側の有権者の意識の変革が不可欠,です,が、国会議員がやるべき仕事は何なのか。,判断
0731Q,950101010-028,9,11,転換期を乗り切る,ために,ただちに打つべき手は何なのか、がようやく見えてくるのです。,理由
3201M,950101010-029,29,32,それが日本の直面している政治、経済、行政の構造転換の方向,でしょう,でしょう。,判断
3201M,950101010-034,58,59,政権与党も野党も、まだ従来の政治の枠組みの中で離合集散しており、次の総選挙と政界再編成第二幕に向けた「仮の宿」の姿,です,。,判断
3031T,950101010-035,21,22,戦後五十五十年の「選択の年」に初夢が少し,でも,実現されればと思います。,極端例
1001Q,950101018-007,58,60,情報サミットは、九四年十一月にインドネシアで開かれたＡＰＥＣの非公式首脳会議で、韓国の金泳三大統領が内々に提唱した,ものの,非公開扱いとなり、会議終了後に発表されたボゴール宣言にも盛り込まれなかった。,逆接確定
3041T,950101024-023,38,39,最大政党である自民党の総裁「河野洋平氏」は三％にとどまり、おひざ元の自民で,さえ,一ケタ台、八％の低率。,極端例
3051T,950101031-013,76,77,さらに同党同党はここへきて「ロシアがＮＡＴＯの将来や欧州における米国の役割について拒否権を持つのは許せない」、「米国は冷戦の勝利者として行動すべきだ」,など,と強硬姿勢を鮮明にし始めた。,極端例
0681Q,950101032-009,11,12,豪快に飲まねば男では,ない,。,順接必要
0681M,950101032-009,11,12,豪快に飲まねば男では,ない,。,順接必要
3341M,950101032-009,11,12,豪快に飲まねば男では,ない,。,否定
2691T,950101034-005,70,72,国営に戻すべき分野として同副首相はアルミニウム、エネルギー、軍需産業を挙げ、「外国企業が一五％の株式を取得し役員会への代表派遣を可能にした,ことは,、ロシア国家の安全保障に直接脅威を与える」と述べた。,強調
0811Q,950101041-003,23,25,政治混乱に業を煮やした市民たちが勝手に作った,ものだ,が、新聞やテレビにニュースが流れると毎日千件近い電話が殺到するという関心の高さを示している。,理由
0811M,950101041-003,23,25,政治混乱に業を煮やした市民たちが勝手に作った,ものだ,が、新聞やテレビにニュースが流れると毎日千件近い電話が殺到するという関心の高さを示している。,理由
0221N,950101041-005,41,41,「今のイタリアの政治家には自らの責任を自覚し、義務を果たそう果たそうとする人物が,い,ない。ディピエトロは自らに課せられた義務をきちんと果たした珍しい人間。このような人物こそイタリアの指導者に必要だと思ったので」と、会発足の意義を力説する。,状況
0721Q,950101041-005,102,103,「今のイタリアの政治家には自らの責任を自覚し、義務を果たそう果たそうとする人物がいない。ディピエトロは自らに課せられた義務をきちんと果たした珍しい人間。このような人物こそイタリアの指導者に必要だと思った,ので,」と、会発足の意義を力説する。,理由
0721M,950101041-005,102,103,「今のイタリアの政治家には自らの責任を自覚し、義務を果たそう果たそうとする人物がいない。ディピエトロは自らに課せられた義務をきちんと果たした珍しい人間。このような人物こそイタリアの指導者に必要だと思った,ので,」と、会発足の意義を力説する。,理由
2011M,950101041-005,102,103,「今のイタリアの政治家には自らの責任を自覚し、義務を果たそう果たそうとする人物がいない。ディピエトロは自らに課せられた義務をきちんと果たした珍しい人間。このような人物こそイタリアの指導者に必要だと思った,ので,」と、会発足の意義を力説する。,推量
0681Q,950101048-008,41,42,しかし、本人が新年の辞を発表するかどうかについては、「他の幹部らが代読するのでは,ない,か」との指摘も多い。,順接必要
