1593N,950101003-001,72,72,村山富市首相は年頭にあたり首相官邸で内閣記者会と二十二十八日会見し、社会党の新民主連合所属議員の離党問題について「政権に影響を及ぼす,こと,にはならない。離党者がいても、その範囲にとどまると思う」と述べ、大量離党には至らないとの見通しを示した。,名詞化
3201M,950101003-002,56,56,また、一九九五年中の衆院解散・総選挙の可能性に否定的な見解を表明、二十二十日召集予定の通常国会前の内閣改造を明確,に,否定した。,判断
3201M,950101004-002,51,51,ロシア南部チェチェン共和国の首都グロズヌイに進攻したロシア軍は三十三十一日、首都中心部を装甲車など,で,攻撃、大統領官邸など数カ所が炎上した。,判断
3201M,950101004-004,11,11,グロズヌイからの報道,で,は、ロシア軍は激しい空爆と砲撃を加えた後、装甲車部隊が大統領官邸付近に進出。,判断
3201M,950101004-005,7,7,同官邸前など,で,ドゥダエフ政権部隊と激しい市街戦を展開している。,判断
3181M,950101008-005,13,13,国内外の、緊迫した重大,な,課題を抱えている時に政治の空白は許されない。,推量
0681Q,950101008-006,37,38,ようやく経済も明るさを取り戻しつつある微妙な段階なので、今は解散の時期では,ない,と考えている。,順接必要
0681M,950101008-006,37,38,ようやく経済も明るさを取り戻しつつある微妙な段階なので、今は解散の時期では,ない,と考えている。,順接必要
3201M,950101008-006,35,35,ようやく経済も明るさを取り戻しつつある微妙な段階なので、今は解散の時期,で,はないと考えている。,判断
3341M,950101008-006,37,38,ようやく経済も明るさを取り戻しつつある微妙な段階なので、今は解散の時期では,ない,と考えている。,否定
1593N,950101008-014,16,16,村山政権に影響があるという,こと,にはならない。,名詞化
3201M,950101008-017,15,15,委員長として党の結束を大切,に,したい。,判断
0971C,950101008-020,31,34,細川内閣の時、予算編成をやった閣僚が予算成立を図るべきだ,と言って,改造に反対した経緯がある。,逆接確定
1593N,950101008-029,32,32,カンボジアなどいくつかの経験に照らして憲法の枠内で、できるだけの,こと,はやっていく。,名詞化
3201M,950101008-032,11,11,戦後五十五十年の節目,で,あり、冷戦構造が崩壊し、世界が新秩序を求めている時期に二十二十一世紀を展望する日米日米の親密な関係をどう構築するかが今度の日米日米首脳会談の大きな課題だ。,判断
3201M,950101008-032,60,60,戦後五十五十年の節目であり、冷戦構造が崩壊し、世界が新秩序を求めている時期に二十二十一世紀を展望する日米日米の親密,な,関係をどう構築するかが今度の日米日米首脳会談の大きな課題だ。,判断
3201M,950101008-036,21,21,通常国会の進行状況、中国の状況との見合い,で,、機会があればできるだけ早期に訪中したい。,判断
0681Q,950101008-038,16,17,国連は常任理事国の問題だけでは,なく,改革されていかなければならない。,順接必要
0681M,950101008-038,16,17,国連は常任理事国の問題だけでは,なく,改革されていかなければならない。,順接必要
3201M,950101008-038,14,14,国連は常任理事国の問題だけ,で,はなく改革されていかなければならない。,判断
3341M,950101008-038,16,17,国連は常任理事国の問題だけでは,なく,改革されていかなければならない。,否定
3201M,950101008-039,20,20,むしろ地球規模の環境、人口、食糧など広範,に,国連の果たさなければならない役割は大きい。,判断
3201M,950101009-001,60,60,高知県の橋本大二郎知事は三十三十一日、都道府県で初めて一般事務職の採用資格から国籍条項を撤廃する方針を明らか,に,した。,判断
3201M,950101009-003,37,37,国は「公権力の行使や公の意思形成に携わる公務員は日本国籍が必要」との姿勢,だ,が、地方公務員法では日本国籍がない人の任用を禁じる規定はない。,判断
3201M,950101010-001,33,33,世界がアッと驚く若い首相が誕生し、がんじがらめの規制がたった一本の法律,で,撤廃された――新春の初夢であり、期待です。,判断
3201M,950101010-001,48,48,世界がアッと驚く若い首相が誕生し、がんじがらめの規制がたった一本の法律で撤廃された――新春の初夢,で,あり、期待です。,判断
0731Q,950101010-002,43,43,こんな単純な発想にあやうさ、脆さを感じる人は多いでしょうでしょうが、混迷の転換期を乗り切る,ため,「日本は変わった」ことの証であり、メッセージになるはずです。,理由
0731N,950101010-002,43,43,こんな単純な発想にあやうさ、脆さを感じる人は多いでしょうでしょうが、混迷の転換期を乗り切る,ため,「日本は変わった」ことの証であり、メッセージになるはずです。,理由
1593N,950101010-002,53,53,こんな単純な発想にあやうさ、脆さを感じる人は多いでしょうでしょうが、混迷の転換期を乗り切るため「日本は変わった」,こと,の証であり、メッセージになるはずです。,名詞化
1631M,950101010-002,69,69,こんな単純な発想にあやうさ、脆さを感じる人は多いでしょうでしょうが、混迷の転換期を乗り切るため「日本は変わった」ことの証であり、メッセージになる,はず,です。,判断
3201M,950101010-002,57,57,こんな単純な発想にあやうさ、脆さを感じる人は多いでしょうでしょうが、混迷の転換期を乗り切るため「日本は変わった」ことの証,で,あり、メッセージになるはずです。,判断
3201M,950101010-003,25,25,そのためにはあらゆる分野で思い切った世代交代が必要,に,なるでしょうでしょう。,判断
3201M,950101010-004,24,24,五十五十年前、敗戦・占領という歴史的な衝撃の中,で,、日本は戦後の第一歩を踏み出しました。,判断
0821Q,950101010-006,21,21,これを支え、その後の日本の活力を生んだ,もの,は占領軍による公職追放という名の“外圧”による世代交代でした。,理由
0821M,950101010-006,21,21,これを支え、その後の日本の活力を生んだ,もの,は占領軍による公職追放という名の“外圧”による世代交代でした。,理由
0823M,950101010-006,21,21,これを支え、その後の日本の活力を生んだ,もの,は占領軍による公職追放という名の“外圧”による世代交代でした。,感嘆
3181M,950101010-009,14,14,今は敗戦直後にも似た大胆,な,切開手術を必要とする時代に入っています。,推量
0811Q,950101010-013,11,12,しかし、それは表面的な,もので,、実態は自信を喪失するとともに、レゾンデートルを求めて揺れる姿が透けて見えます。,理由
0811M,950101010-013,11,12,しかし、それは表面的な,もので,、実態は自信を喪失するとともに、レゾンデートルを求めて揺れる姿が透けて見えます。,理由
0822M,950101010-013,11,11,しかし、それは表面的な,もの,で、実態は自信を喪失するとともに、レゾンデートルを求めて揺れる姿が透けて見えます。,当為
0823M,950101010-013,11,11,しかし、それは表面的な,もの,で、実態は自信を喪失するとともに、レゾンデートルを求めて揺れる姿が透けて見えます。,感嘆
3201M,950101010-015,22,22,強大な権限を持つ大蔵省が「諸悪の根源」のよう,に,言われ、他省庁や海外から大蔵分割論が唱えられ、外務省・通産省無用論や建設省・農水省合併論、郵政省の民営化論などが半ば公然と語られるようになりました。,判断
3201M,950101010-017,14,14,許認可、規制のシンボルのよう,に,言われる運輸省も例外ではありません。,判断
3201M,950101010-018,13,13,航空業界トップは「このまま,で,は航空会社は早晩、赤字タレ流しの第二の国鉄になるしかない」と悲鳴を上げ、ＪＲ各社首脳は運賃、宿泊費、サービス料金の内外価格差の増大に「産業の空洞化は製造業からあらゆる産業に広がりつつある」と警鐘を鳴らしています。,判断
0731Q,950101010-019,67,67,銀行、証券、生・損保生・損保生・損保など金融機関は「ある日突然に日本から株式市場が消える悪夢を見る」と訴え、政府・日銀が「金融秩序維持の,ため,」に発動した信用組合救済銀行の設立も、「バブルに踊った“悪徳”金融機関の救済に税金を使うことに閣僚からも批判が出ているが、ヘタをすると大変なことになる。そうなったら国家的犯罪ですよ」とまで危惧するのです。,理由
0731N,950101010-019,67,67,銀行、証券、生・損保生・損保生・損保など金融機関は「ある日突然に日本から株式市場が消える悪夢を見る」と訴え、政府・日銀が「金融秩序維持の,ため,」に発動した信用組合救済銀行の設立も、「バブルに踊った“悪徳”金融機関の救済に税金を使うことに閣僚からも批判が出ているが、ヘタをすると大変なことになる。そうなったら国家的犯罪ですよ」とまで危惧するのです。,理由
1593N,950101010-019,113,113,銀行、証券、生・損保生・損保生・損保など金融機関は「ある日突然に日本から株式市場が消える悪夢を見る」と訴え、政府・日銀が「金融秩序維持のため」に発動した信用組合救済銀行の設立も、「バブルに踊った“悪徳”金融機関の救済に税金を使う,こと,に閣僚からも批判が出ているが、ヘタをすると大変なことになる。そうなったら国家的犯罪ですよ」とまで危惧するのです。,名詞化
1593N,950101010-019,139,139,銀行、証券、生・損保生・損保生・損保など金融機関は「ある日突然に日本から株式市場が消える悪夢を見る」と訴え、政府・日銀が「金融秩序維持のため」に発動した信用組合救済銀行の設立も、「バブルに踊った“悪徳”金融機関の救済に税金を使うことに閣僚からも批判が出ているが、ヘタをすると大変な,こと,になる。そうなったら国家的犯罪ですよ」とまで危惧するのです。,名詞化
2661T,950101010-019,139,140,銀行、証券、生・損保生・損保生・損保など金融機関は「ある日突然に日本から株式市場が消える悪夢を見る」と訴え、政府・日銀が「金融秩序維持のため」に発動した信用組合救済銀行の設立も、「バブルに踊った“悪徳”金融機関の救済に税金を使うことに閣僚からも批判が出ているが、ヘタをすると大変な,ことに,なる。そうなったら国家的犯罪ですよ」とまで危惧するのです。,強調
3201M,950101010-019,138,138,銀行、証券、生・損保生・損保生・損保など金融機関は「ある日突然に日本から株式市場が消える悪夢を見る」と訴え、政府・日銀が「金融秩序維持のため」に発動した信用組合救済銀行の設立も、「バブルに踊った“悪徳”金融機関の救済に税金を使うことに閣僚からも批判が出ているが、ヘタをすると大変,な,ことになる。そうなったら国家的犯罪ですよ」とまで危惧するのです。,判断
3201M,950101010-020,34,35,いずれも許認可、規制の弊害が「来るところまで来た」という危機感のあらわれ,です,。,判断
3201M,950101010-022,23,23,世代交代と規制緩和は、政治家の役割と質を劇的,に,変えることにもなります。,判断
3201M,950101010-023,7,7,これまでのよう,な,既得権益の擁護や利害関係の調整、利益誘導の根拠や活躍の舞台を失います。,判断
1593N,950101010-024,34,34,これに地方分権や小選挙区比例代表並立制導入という新選挙制度が加わる,こと,によって、政界地図は激変する可能性もあります。,名詞化
3201M,950101010-027,22,23,政治家や選ぶ側の有権者の意識の変革が不可欠,です,が、国会議員がやるべき仕事は何なのか。,判断
0731Q,950101010-028,9,10,転換期を乗り切る,ために,ただちに打つべき手は何なのか、がようやく見えてくるのです。,理由
0731Q,950101010-028,9,9,転換期を乗り切る,ため,にただちに打つべき手は何なのか、がようやく見えてくるのです。,理由
0731N,950101010-028,9,9,転換期を乗り切る,ため,にただちに打つべき手は何なのか、がようやく見えてくるのです。,理由
3201M,950101010-029,30,31,それが日本の直面している政治、経済、行政の構造転換の方向,でしょう,でしょう。,判断
1161Q,950101010-033,8,8,政治はなお混迷の,まま,越年となりました。,付帯
3201M,950101010-034,60,61,政権与党も野党も、まだ従来の政治の枠組みの中で離合集散しており、次の総選挙と政界再編成第二幕に向けた「仮の宿」の姿,です,。,判断
3201M,950101010-034,23,23,政権与党も野党も、まだ従来の政治の枠組みの中,で,離合集散しており、次の総選挙と政界再編成第二幕に向けた「仮の宿」の姿です。,判断
3201M,950101010-035,21,21,戦後五十五十年の「選択の年」に初夢が少し,で,も実現されればと思います。,判断
0821Q,950101011-003,42,42,今月中に首相を囲む学者グループが発表する「村山ビジョン」の基本的な考えを示した,もの,。,理由
0821M,950101011-003,42,42,今月中に首相を囲む学者グループが発表する「村山ビジョン」の基本的な考えを示した,もの,。,理由
0823M,950101011-003,42,42,今月中に首相を囲む学者グループが発表する「村山ビジョン」の基本的な考えを示した,もの,。,感嘆
1593N,950101011-012,51,51,村山内閣となり、長い懸案だった政治改革、税制改革、被爆者援護法など困難な課題に大きな区切りをつける,こと,ができた。,名詞化
3201M,950101011-012,37,37,村山内閣となり、長い懸案だった政治改革、税制改革、被爆者援護法など困難,な,課題に大きな区切りをつけることができた。,判断
0731Q,950101011-013,44,44,戦後五十五十周年を機会に来るべき五十五十年を展望し、「改革から創造へ」と飛躍を図る,ため,、「創造とやさしさの国造り国造り」に取り組む。,理由
0731N,950101011-013,44,44,戦後五十五十周年を機会に来るべき五十五十年を展望し、「改革から創造へ」と飛躍を図る,ため,、「創造とやさしさの国造り国造り」に取り組む。,理由
3201M,950101011-018,11,11,少子・高齢化社会の中,で,安心して暮らせるやさしい社会づくり、銃や麻薬のない社会の実現をめざす。,判断
3201M,950101014-002,51,51,首相は記者団に対し、「突然大分に帰ったが、温かい歓迎に接し『地元はいいなあ』という感謝の気持ち,で,いっぱい。期待に応えてしっかり頑張らないといかんという気持ちを一層強く持った」と感想を述べた。,判断
3201M,950101015-009,27,27,久保氏はさきがけに期待し、武村正義代表と頻繁,に,接触、武村氏は連携に傾いていると言われるが、さきがけ内部には「社民主義と保守リベラルは違う」などの慎重論は強いという。,判断
3201M,950101015-013,46,46,新党慎重派の「村山政権を支え社民リベラル政治をすすめる会」は「参院選後で十分」との姿勢,で,、妥協点を探るのは難しそうだ。,判断
3201M,950101015-014,22,22,今のところ二月の党大会では結成方針を決めるだけ,で,、統一地方選は社会党として戦うことがほぼ確定。,判断
3201M,950101015-018,33,33,離党に踏み切るかどうかは流動的だが、準備会参加の人数が当面の焦点,だ,。,判断
3201M,950101015-019,42,42,「すすめる会」は「離党は倒閣運動」と、新民連所属議員を個別に説得、離党騒動に冷ややか,な,地方本部、労組を通じての切り崩しも活発だ。,判断
0721Q,950101016-002,84,84,昨年は六月下旬から約一カ月入院した宮本氏だが、インタビューでは「ジャーナリストから時々、『いつまでやるつもりか』とか、それに類する質問を受ける」と自ら紹介したうえ,で,、「誇るべきことであっても、恥じることは何もない」と力説、健在ぶりを強調している。,理由
0721M,950101016-002,84,84,昨年は六月下旬から約一カ月入院した宮本氏だが、インタビューでは「ジャーナリストから時々、『いつまでやるつもりか』とか、それに類する質問を受ける」と自ら紹介したうえ,で,、「誇るべきことであっても、恥じることは何もない」と力説、健在ぶりを強調している。,理由
1181Q,950101016-002,83,83,昨年は六月下旬から約一カ月入院した宮本氏だが、インタビューでは「ジャーナリストから時々、『いつまでやるつもりか』とか、それに類する質問を受ける」と自ら紹介した,うえ,で、「誇るべきことであっても、恥じることは何もない」と力説、健在ぶりを強調している。,添加
3201M,950101016-002,84,84,昨年は六月下旬から約一カ月入院した宮本氏だが、インタビューでは「ジャーナリストから時々、『いつまでやるつもりか』とか、それに類する質問を受ける」と自ら紹介したうえ,で,、「誇るべきことであっても、恥じることは何もない」と力説、健在ぶりを強調している。,判断
3201M,950101018-003,69,69,マルチメディア時代をにらんだアジア・太平洋の情報通信基盤を整備するため、光ファイバー網の拡充、情報通信の標準化、公的分野の情報化など広範,な,課題を協議する方針で、今後は毎年定例開催し、アジア・太平洋地域の情報化推進の司令塔の役割を果たす。,判断
0821Q,950101018-007,63,63,情報サミットは、九四年十一月にインドネシアで開かれたＡＰＥＣの非公式首脳会議で、韓国の金泳三大統領が内々に提唱した,もの,の非公開扱いとなり、会議終了後に発表されたボゴール宣言にも盛り込まれなかった。,理由
