"#wordnet"
あざ,打ち身
あしらい,処置
あしらい,対処
あしらい,扱い
あたり,付近
あたり,周り
あたり,周囲
あたり,周辺
あたり,界隈
あたり,近く
あたり,近傍
あたり,近所
あたり,近辺
あたり,近間
あたり,近隣
あたり,附近
あたる,衝突
あだ名,愛称
あだ討ち,報復
あっ旋,仲立
あつれき,摩擦
あぶく銭,泡銭
あほ,愚人
あほ,愚劣
あほ,愚昧
あほ,愚鈍
あほ,抜け
あほ,痴
あほ,痴人
あほ,空け
あほう,愚人
あほう,愚劣
あほう,愚昧
あほう,愚鈍
あほう,抜け
あほう,痴人
あやつり人形,傀儡
あらすじ,大凡
あらすじ,大略
あらまし,大凡
あらまし,大略
ありさま,具合
ありさま,状態
あり方,状態
ある,存在
あんぽんたん,愚人
あんぽんたん,愚劣
あんぽんたん,抜け
あんぽんたん,痴人
いかさま,偽作
いかさま,偽物
いかさま,紛い
いかさま,虚偽
いき,粋
いけにえ,犠牲
いさかい,口論
いさかい,喧嘩
いさかい,悶着
いさかい,物言
いざこざ,争い
いざこざ,喧嘩
いざこざ,悶着
いざこざ,紛争
いざこざ,紛擾
いたし方,仕様
いたし方,手段
いたし方,手法
いたし方,方式
いたし方,方法
いなか,在郷
いなか,地方
いなか,田園
いばり,しし
いばり,小便
いばり,小水
いばり,小用
いぼ,疣
いぼ,疣贅
いらだち,苛苛
いら立ち,焦燥
いら立ち,苛苛
いる,存在
いんちき,偽物
いんちき,紛い
うす茶,白茶
うす茶,薄茶
うす茶色,白茶
うす茶色,薄茶
うそ,不実
うそ,偽り
うそ,空音
うそ,虚
うそ,虚言
うそ,詐偽
うぬぼれ,傲り
うぬぼれ,慢心
うろ,穴
うろ,虚
うわさ話,噂話
うわさ話,風聞
うわさ話,風評
うわ言,戯言
う蝕,虫歯
おあし,お金
おあし,金員
おあし,銀子
おかみさん,細君
おごり,慢心
おしまい,仕舞
おしまい,完了
おしまい,完結
おしまい,留め
おしまい,終了
おしまい,終幕
おしまい,終焉
おしゃれ,洒落
おつ,味
おでき,腫物
おとっつあん,父君
おとっつあん,男親
おとな,成人
おなご,女性
おなご,娘子
おなら,ガス
おなら,出物
おののき,戦慄
おばけ,亡霊
おばけ,幽鬼
おばけ,悪霊
おばけ,生霊
おばけ,魔物
おべべ,御召
おべべ,御衣
おべべ,洋服
おべべ,着物
おべべ,衣紋
おべべ,衣装
おまんま,ご飯
おまんま,御飯
おまんま,米飯
おもちゃ,トイ
おもちゃ,弄び
おやじ様,父君
おやじ様,男親
おやつ,間食
お三,下女
お三,小間使
お三,小間使い
お上,公儀
お上,細君
お上さん,細君
お世辞,上手
お仕置き,制裁
お付き,お側
お付き合い,交際
お代,値
お休み,ねね
お休み,一息
お休み,休息
お休み,休憩
お休み,休日
お休み,休暇
お休み,休養
お休み,定休
お休み,憩い
お休み,眠り
お休み,睡眠
お伴,お側
お伽,お伽噺
お伽,お伽話
お伽噺,御伽
お伽話,御伽
お供,お側
お供,供奉
お側,侍者
お側,供
お側,供人
お側,御付
お側,御供
お側,御側
お側,御許
お先,未来
お出来,腫物
お勤め,仕事
お化け,亡霊
お化け,化物
お化け,化生
お化け,変化
お化け,幽霊
お化け,幽鬼
お化け,怨霊
お化け,悪霊
お化け,生霊
お召,御衣
お召し,御衣
お召し物,御召
お召し物,御衣
お召し物,着物
お召し物,衣紋
お召し物,衣装
お喋り,会話
お喋り,話し
お坊さん,坊様
お坊ちゃん,坊様
お坊っちゃん,坊様
お天気,天象
お好み,嗜好
お姫様,皇女
お婆,姥
お婆,媼
お婆,嫗
お婆,老女
お婆,老婆
お婆,老婦
お嫁さん,新婦
お嫁さん,花嫁
お嬢さん,乙女
お嬢さん,娘子
お嬢さん,少女
お嬢さん,息女
お嬢様,淑女
お子さん,子供
お子様,子供
お子様,子女
お宅,家
お守,呪符
お守,子もり
お守,子守
お守,子守り
お守,守り
お守,御守
お守,御守り
お守,御符
お守,神符
お守,符
